年度季別,全國,台北市,新北市,桃園市,新竹縣市,台中市,台南市,高雄市,基期為民國110年全年=100
094Q2,49.91,38.84,46.06,45.56,44.21,43.21,37.16,46.66,
094Q1,49.83,38.9,47.45,43.66,42.37,44.36,36.96,45.2,
093Q4,49.64,38.87,44.18,44.2,42.89,46.09,37.19,44.1,
093Q3,48.66,38.81,44.59,43.76,42.47,43,35.02,40.34,
093Q2,49.33,38.88,42.36,44.02,42.72,41.53,36.25,42.58,
093Q1,46.34,34.75,41.42,43.61,42.32,40.09,35.6,40.48,
092Q4,45.97,35.13,42.88,39.12,37.97,37.97,33.07,39.72,
092Q3,45.68,36.51,39.57,40.92,39.71,34.49,34.77,41.63,
092Q2,44.36,35.11,40,36.67,35.59,38.4,32.72,37.74,
092Q1,45.37,35.87,37.89,41.54,40.32,42.48,35.51,41.28,
091Q4,45.07,36.76,39.01,45.26,43.92,45.07,35.24,42.11,
091Q3,45.12,41.72,41.34,41.4,40.17,47.51,32.92,43.95,
091Q2,44.48,34.55,37.76,40.93,39.72,50.23,36.02,41.65,
091Q1,44.54,30.57,45.94,43.63,42.34,54.21,36.34,35.1,
090Q4,46.05,40.84,39.42,45.03,43.7,47.86,36.41,41.7,
090Q3,48.75,37.41,34.85,47.95,46.53,37.62,35.11,38.94,
090Q2,47.54,35.49,41.25,44.42,43.11,42.91,36.25,46.85,
090Q1,51.04,39.63,42.32,46.47,45.1,42.92,40.22,48.32,
089Q4,50.22,38.7,43.66,48.18,46.75,42.21,40.12,46.97,
089Q3,49.81,39.76,43.8,45.79,44.44,45.75,37.64,44.9,
089Q2,50.76,39.12,46.03,47.02,45.63,40.66,42.2,50.55,
089Q1,49.54,37.58,42.38,43.77,42.47,44.49,44.49,54.92,
